docname;from;to;pre;keyword;post;pattern
A Scandal in Bohemia;46;46;her sex . It was not that he felt any;emotion;akin to love for Irene Adler . All emotions ,;emot*
A Scandal in Bohemia;55;55;any emotion akin to love for Irene Adler . All;emotions;, and that one particularly , were abhorrent to his;emot*
A Scandal in Bohemia;203;203;lenses , would not be more disturbing than a strong;emotion;in a nature such as his . And yet there;emot*
The Boscombe Valley Mystery;6973;6973;. Men who had only known the quiet thinker and;logician;of Baker Street would have failed to recognize him .;log*
The Five Orange Pips;146;146;rather upon conjecture and sur- mise than on that absolute;logical;proof which was so dear to him . There is;log*
The Adventure of the Blue Carbuncle;3195;3195;Assizes . Horner , who had shown signs of intense;emotion;during the proceedings , fainted away at the conclusion and;emot*
The Adventure of the Blue Carbuncle;7468;7468;"black bar across the tail . "" Ryder quivered with";emotion;". "" Oh , sir , "" he cried ,";emot*
The Adventure of the Speckled Band;551;551;swift as intuitions , and yet always founded on a;logical;basis wlth which he unravelled the problems which were submitted;log*
The Adventure of the Beryl Coronet;645;645;or more with a heaving chest , fighting against his;emotion;. Then he passed his handkerchief over his brow ,;emot*
The Adventure of the Copper Beeches;149;149;have given room for those faculties of deduction and of;logical;"synthesis which I have made my special province . """;log*
The Adventure of the Copper Beeches;397;397;. Logic is rare . Therefore it is upon the;logic;rather than upon the crime that you should dwell .;log*
